system   D            wsystem.c:585  maybe_parent_dir                 [   0.00131] Also searching C:\Users\Student\Desktop\src\Demo Projects\EscapeTheMaze\
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.08052] al_display->vt=007FA790
dtor     D               dtor.c:184  _al_register_destructor          [   0.08165] added dtor for object 0080F388, func 58ED27A7
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08410] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08416] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08419] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08421] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08423] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08425] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08428] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08432] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08435] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.08437] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.08439] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.08441] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.08445] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08508] added dtor for object 00811898, func 58ED259A
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.09387] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.09395] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11152] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11155] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11157] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11158] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11160] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11161] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11162] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11164] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11165] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.11167] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.11168] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.11169] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.11171] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11218] added dtor for object 00811AE8, func 58ED259A
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.11597] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.11605] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13166] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13170] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13171] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13173] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13174] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13175] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13177] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13178] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13180] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.13181] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.13182] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.13184] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.13186] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.13235] added dtor for object 00810980, func 58ED259A
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.13576] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.13585] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15187] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15194] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15199] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15201] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15205] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15207] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15209] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15212] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15213] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15215] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15216] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15217] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15219] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15240] added dtor for object 00810B30, func 58ED259A
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15297] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15299] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15301] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15302] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15304] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15305] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15307] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15308] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15309] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15311] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15312] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15314] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15315] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15326] added dtor for object 008112C0, func 58ED259A
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.15453] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.15460] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15519] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15522] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15523] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15525] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15527] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15529] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15530] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15532] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15533] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15535] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15537] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15538] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15540] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15552] added dtor for object 00811BF8, func 58ED259A
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15580] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15582] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15583] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15585] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15586] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15587] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15589] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15591] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15592] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15593] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15595] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15597] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15598] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15611] added dtor for object 00812448, func 58ED259A
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.15643] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.15645] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15717] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15720] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15721] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15723] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15724] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15725] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15727] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15728] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15729] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15731] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15732] Adapter format is 23
